题干,答案
以下哪个药品（试剂）在使用时不用注意干燥防潮？,D
领取剧毒物品时，必须：）,A
为了防止在开启或关闭玻璃容器时发生危险，下列哪一种瓶塞不适宜作为盛放具有爆炸危险性物质的玻璃容器的瓶塞？,B
"2,4-二硝基苯甲醚、萘、二硝基萘等可升华固体药品燃烧应如何进行灭火：",D
可以单独使用剧毒物品。,错误
眼部碱灼伤时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球，然后可用2%～3%硼酸溶液进一步冲洗。,正确
触电事故是因电流流过人体而造成的。,正确
实验大楼因出现火情发生浓烟时应迅速离开，当浓烟已穿入实验室内时，要沿地面匍匐前进，因地面层新鲜空气较多，不易中毒而窒息，有利于逃生。当逃到门口时，千万不要站立开门，以避免被大量浓烟熏倒。,正确
实验室不得乱拉电线，套接接线板。,正确
CO急性中毒应立即吸氧，以缓解机体缺氧、排出毒物。,正确
干粉灭火剂是扑救精密仪器火灾的最佳选择。,错误
乙炔的爆炸极限是：2.2％～81％。 ,正确
因处理废液费用很高，应将无毒无害试剂与有毒有害试剂分开处理，例如稀HAc、H2SO4、HCL、NaOH、KOH等溶液可进行中和处理。,正确
凡进行有危险性的实验，应先检查防护措施，确证防护妥当后，才可进行实验。,正确
实验室内应使用空气开关并配备必要的漏电保护器；电气设备应配备足够的用电功率和电线，不得超负荷用电；电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。,正确
红外灯、紫外灯不得安装在木柜或纸箱中使用。,正确
实验中遇到一般割伤，应立即取出伤口内的异物，保持伤口干净，并用酒精棉清除伤口周围的污物，涂上外伤膏或消炎粉。 ,正确
电线接头裸露部分可用医用胶布等包裹绝缘。,错误
存有易燃易爆物品的实验室禁止使用明火，如需加热可使用封闭式电炉、加热套或可加热磁力搅拌器。,正确
有毒化学药品溅在皮肤上时，可用乙醇等有机溶剂擦洗。,错误
汞、苯、铬酸盐和氰化物属于对人体具有极度危害的物质。,正确
不能将实验室易燃易爆物品带出实验室。,正确
只要不影响实验，可以在实验室洁净区域铺床睡觉。,错误
实验室冰箱内不得混放容易产生放热反应的化学品。,正确
高校实验室科研教学活动中产生和排放的废气、废液、固体废物、噪声、放射性等污染物，应按环境保护行政主管部门的要求进行申报登记、收集、运输和处置。严禁把废气、废液、废渣和废弃化学品等污染物直接向外界排放。  ,正确
各学院每季度组织有关人员对实验室进行安全与卫生管理的例行检查，记录检查情况，提出存在的问题并限时整改。每次检查结束后须将检查结果形成报告，上报实验室处。 ,正确
电路或电器着火时，使用二氧化碳灭火器灭火。,正确
护送病人时，应取掉口中异物，采用平卧位，头部稍低，保持呼吸畅通。,正确
实验过程中如发生事故，应冷静妥善地处理，尽量把事故解决在萌芽状态。如较为严重，有危及人身安全可能时，应及时撤离现场，并通知邻近实验室工作人员迅速撤离，尽快报警。,正确
做实验时要爱护实验设备，同时注意自身的安全，避免发生事故。,正确
如发现水泵漏水，可以不用切断电源，待实验完毕后再报修。,错误
正在进行实验时，可带着防护手套接听电话。,错误
当某些用石蜡封住瓶塞的装有挥发性物质或易受热分解放出气体的药品瓶子打不开时，可将瓶子放在火上烘烤。,错误
收集、贮存危险废物，必须按照危险废物特性分类进行。禁止混合收集、贮存、运输、处置性质不相容而未经安全性处置的危险废物。 ,正确
使用危险化学品单位应当制定本单位事故应急救援预案，配备应急救援人员和必要的应急救援器材、设备，并定期组织演练。,正确
各种气瓶的存放，必须远离明火、避免阳光直晒，搬运时不得碰撞。,正确
当打开房门闻到煤气气味，首先应该怎么办？（）,C
作为化工原料的电石或乙炔着火时，严禁用( )扑救灭火,B
一些固体可燃物在空气不流通、加热温度较低或含水分较高时就会（）,B
建筑物安全疏散设施不包括（）,D
像汽车排气管中飞出的无焰燃烧的火星具有引发火灾的危险性，需要采取相应的安全对策，下列说法不正确的是（）,D
学校各单位应当保障疏散通道、安全出口畅通，严禁以下哪种行为（）,D
使用办公自动化设备时，应当遵守下列规定：,D
涉及有毒试剂的操作时，应采取的保护措施包括：,D
稀硫酸溶液的正确制备方法是：,B
实验过程中发生烧烫(灼)伤，错误的处理方法是：,C
活泼金属应存放在何处？,C
SO2易溶于水，大量吸入会引起喉水肿，肺水肿、窒息。,正确
在遇到高压电线断落地面时，导线断落点20米内，禁止人员进入。如果不慎在此范围内，应背朝电线断落点，采用单脚跳或双脚并跳，撤离现场。,正确
禁止邮寄属于国家秘密的文件、资料和其他物品出境，禁止非法携运属于国家秘密的文件、资料和其他物品出境。,正确
废弃的利器(包括针头、小刀、金属和玻璃等)应直接弃置于耐扎容器内。,正确
"实验时,禁止用口吸方式移液。",正确
脑震荡急救时，应让伤员平卧、安静，不可坐起或站立。头部可冷敷，身上保暖。若有昏迷现象者可掐人中、内关穴；如若呼吸发生障碍，可施行人工呼吸。,正确
可以在纸上称量过氧化钠。,错误
吸滤瓶及一些厚壁玻璃容器，清洗后可直接放入温度较高的烘箱进行干燥。,错误
"对于含汞、砷、锑、铋等离子的废液,实验室可以先进行如下处理：控制酸度0.3mol/L[H+]，使其生成硫化物沉淀。 ",正确
如果可燃液体在容器内燃烧时，应从容器的一侧上部向容器中喷射但注意不能将喷流直接喷射在燃烧液面上，防止灭火剂的冲力将可燃液体冲出容器而扩大火势。,正确
实验大楼因出现火情发生浓烟已穿入实验室内时，以下哪种行为是正确的？,A
感染动物实验完成后，动物尸体及废弃物转移出特殊实验室前，应采取哪种方法处理？,B
实验室安全管理实行哪种管理？,A
化学药品存放室要有防盗设施，保持通风，试剂存放应：,A
不会发生爆炸的是：,B
对人类而言，下列那种情况不属于生物威胁的来源：,C
一般准备活动主要是一些全身性身体练习，主要包括         、踢腿、弯腰等。,C
处置实验过程产生的剧毒药品废液，说法错误的是：,D
为了安全，须贮存于煤油中的金属是：,A
有些固体化学试剂接触空气即能发生强烈氧化作用，如黄磷，应如何保存：,A
据统计，火灾中死亡的人有80%以上属于烟气窒息致死。,正确
测试数据应进行异地备份。,正确
一般的实验室只要干净、卫生情况良好，就可以饲养动物或进行动物实验。,错误
触电时，不可人去拉（可用木棒把伤员挑开），应立即切断电源，然后先做人工呼吸，再做心脏按压，同时报120送医院进行处理。,正确
实验室如发现存在安全隐患，要及时向所在学院和实验室负责人、保卫处、实验室处报告，并采取措施进行整改。对安全隐患隐瞒不报或拖延上报的，学校将对相关责任人进行严肃处理。,正确
实验仪器使用时要有人在场，不得擅自离开。,正确
发现实验室楼的配电箱起火，可以用楼内的消火栓放水灭火。,错误
当发生火情时尽快沿着疏散指示标志和安全出口方向迅速离开火场。 ,正确
皮肤被黄磷灼伤禁用含油敷料。,正确
受阳光照射易燃烧、易爆炸或产生有毒气体的化学危险品和桶装、罐装等易燃液体、气体应当在阴凉通风的地点存放。,正确
化学危险物品应当分类、分项存放，还原性试剂与氧化剂、酸与碱类腐蚀剂等不得混放，相互之间保持安全距离。,正确
对危险废物的容器和包装物以及收集、贮存、运输、处置危险废物的设施、场所，必须设置危险废物识别标志。  ,正确
易燃、易爆气体和助燃气体（氧气等）可以混放在一起，并靠近热源和火源。,错误
在实验室内一切有可能产生毒性蒸气的工作必须在通风橱中进行，并有良好的排风设备。  ,正确
阻拦报火警或者谎报火警的给予（ ）处罚。,C
消防安全重点单位对员工的宣传教育和培训内容包括（),D
在液体（固体）表面产生足够的可燃蒸气，遇火能产生一闪即灭的火焰燃烧现象称（）,B
（）都有维护消防安全、保护消防设施、预防火灾、报告火警的义务,A
欲除去氯气时，以下哪一种物质作为吸收剂最为有效？,C
进行危险性实验时，应：,B
下列粉尘中，哪种粉尘可能会发生爆炸：,B
在铣削中清理切屑时，应使用:,B
傍晚锻炼结束与睡觉的间隔时间要在多少时间以上，否则，会影响夜间的休息？,B
取用试剂时，错误的说法是：,D
化学品的毒性可以通过皮肤吸收、消化道吸收及呼吸道吸收等三种方式对人体健康产生危害，下列不正确的预防措施是：,A
实验室地面出现溢水的主要原因之一是忘记关闭水龙头，尤其停水时忘关水龙头，因此离开实验室时要认真检查。,正确
应增强信息安全的意识，注意保护教学科研活动中实验技术参数、观测数据、实验分析结果及新的科学发现等资料。 ,正确
上网信息的保密管理坚持“谁上网谁负责”的原则。,正确
用手搬运重物时，应先以半蹲姿势，抓牢重物，然后用腿肌出力站起，切勿弯腰，以防伤及背部和腰。,正确
液氯钢瓶与液氨钢瓶可以在同库存放。,错误
对高压气体钢瓶要分类保管，直立固定。严禁将氯气与氨气，氢气与氧气，乙炔与氧气混放在一个房间。,正确
空调电源必须单独拉线，不得使用接线板。,正确
在照明电路上可以不用安装漏电保护器。,错误
实验室内可以使用电炉、微波炉、电磁炉、电饭煲等取暖、做饭。,错误
在装置汞的仪器下面应放一搪瓷盘，以免不慎将汞洒在地上。,正确
对沾染过有毒物质的仪器和用具，实验完毕应立即采取适当方法处理以破坏或消除其毒性。,正确
实验后剩余的金属钠，应用大量的水冲洗。,错误
"对于化学试剂或未知物,允许直接用鼻子嗅气味，不用以手煽出少量气体来嗅觉。 ",错误
在室外灭火时，应站在什么位置 ？,A
不需在棕色瓶中或用黑纸包裹，置于低温阴凉处的药品是：,C
雷电放电具有什么特点？,A
实验中如遇刺激性及神经性中毒，先服牛奶或鸡蛋白使之缓和，，再服用：,B
诱发安全事故的原因是：,D
实验室生物安全等级分四级，哪级生物安全防护要求最高？,D
混和或相互接触时，不会产生大量热量而着火、爆炸的是：,B
实验室毒物进入人体有三条途径即皮肤、消化道和呼吸道。 实验室防毒应加强个人防护。,正确
急救时伤口包扎越紧越好。,错误
生物类实验室废弃物（包括动物残体等），可以丢弃在普通垃圾箱内。 ,错误
安全事故处理应本着先人后物的原则，果断地、坚决地快速处置。,正确
电加热设备必须有专人负责使用和监督，离开时要切断电源。,正确
可以将乙炔与氧气混放在一个房间。,错误
下列设施不符合作为安全出口条件的是（）,C
在火灾初发阶段，应采取哪种方法撤离？,B
以下对放射性垃圾的安全管理不正确的是：,A
以下哪项不属于死亡的特征?,A
使用离心机时下列哪种操作是错误的？,B
扑救易燃液体火灾时，应用那种方法？,A
剧毒物品保管人员应做到:,D
氯气急性中毒可引起严重并发症，如气胸、纵隔气肿等，不会引起什么症状？,C
做危险化学实验时应配带各种眼镜进行防护，包括戴隐形眼镜。,错误
"皮肤烧伤后如有水泡,应及时将水泡刺破,以利于其恢复。",错误
实验室的电源总闸没有必要每天离开时都关闭，只要关闭常用电气的电源即可。,错误
回收不便时可以将实验室废弃物掩埋处理。,错误
人工呼吸的方法是捏紧伤者鼻孔，深吸一口气后紧贴伤者的口向口内吹气，时间约为2秒钟，吹气完毕后，立即松开伤者的鼻孔，让他自行呼气，时间约3秒钟。如此以每分钟约12次的速度进行。  ,正确
发生意外后先对伤员进行必要的止血、包扎、固定等处理，然后尽可能用担架搬运，搬运时病人始终处脚朝前，头朝后，以便于随时观察伤者情况变化，及时实施急救处理。,正确
铅被加热到400℃以上就有大量铅蒸汽逸出，在空气中迅速氧化为氧化铅，形成烟尘，易被人体吸入，造成铅中毒。,正确
CO经呼吸道进入血液后，立即与血红蛋白结合形成碳氧血红蛋白，CO与血红蛋白的亲和力比氧大，致使血携氧能力下降，同时碳氧血红蛋白的解离速度却比氧合血红蛋白的解离慢3600倍，且碳氧血红蛋白的存在影响氧合血红蛋白的解离，阻碍了氧的释放，导致低氧血症，引起组织缺氧。,正确
Cl2和CO作用生成的光气毒性比Cl2大。,正确
实验进行前要了解实验仪器的使用说明及注意事项，实验过程中要严格按照操作规程进行操作。,正确
离开实验室前应检查门、窗、水龙头是否关好，通风设备、饮水设施、计算机、空调等是否已切断电源。,正确
溅入口中已下咽的毒物，应根据毒物的性质服解毒剂，并立即送医院。 ,正确
急性中毒发生时，救护人员在抢救前要做好自身呼吸系统和皮肤的防护，以免自身中毒、使事故扩大。,正确
实验室安全工作的中心任务是防止发生人员伤亡、财产和科研资料损失。,正确
"为了确保动物实验的正常开展,应严格控制无关人员、昆虫及野生动物、病原微生物进入实验室。",正确
出现内伤如挫伤、肌肉拉伤、关节扭伤、滑囊炎、腱鞘炎等24小时内一般用冷敷，加压包扎，抬高受伤的肢体等方法，尽可能减少受伤部位的出血。,正确
扑救气体火灾切忌盲目扑灭火势，首先应切断火势蔓延途径，然后疏散火势中压力容器或受到火焰辐射热威胁的压力容器，不能疏散的部署水枪进行冷却保护。,正确
实验室常用的灭火方法：用水灭火、砂土灭火、灭火器。,正确
以下情况不宜进行游泳锻炼：患心脏病、高血压、肺结核和身体虚弱的人；严重沙眼、传染性皮肤病、细菌性肠炎等人；病刚好或发烧头疼、伤风感冒、过度疲劳、饥饿时；饭后45—60分钟和剧烈运动后不久；女生月经期不宜下水。,正确
消防安全重点单位应当按照灭火和应急疏散预案，至少（ ）进行一次演练，其他单位应当结合本单位实际，至少（ ）组织一次演练（）,C
烟头中心温度可达( )，它超过了棉、麻、毛织物、纸张、家具等可燃物的燃点，若乱,C
消防安全四个能力不包括以下（）,D
一般居民住宅、办公场所，若以防止触电为主要目的时，应选用漏电动作电流为多少的漏电保护开关？,C
漏电保护器对下例哪种情况不起作用？,C
有机物或能与水发生剧烈化学反应的药品着火，应用       ，以免扑救不当造成更大损害。,C
化学危险药品对人身会有刺激眼睛、灼伤皮肤、损伤呼吸道、麻痹神经、燃烧爆炸等危险，一定要注意化学药品的使用安全，以下不正确的做法是：,C
对于实验室内溅落的汞物体，应尽量捡拾起来放好，然后洒上硫磺、多硫化钙等使汞生成不挥发的难溶盐。,正确
机械温控冰箱可以存放易燃易爆的化学品。,错误
在使用高压灭菌锅、烤箱等高压加热设备时，必须有人值守。,正确
早晨、中饭、晚上等几个人员稀少的时间段，要特别注意随手关门，确保实验室财产和个人物品的安全。,正确
人患感冒以后，可以通过激烈的体育锻炼使身体出汗，进而治病。,错误
公安部门负责危险化学品的公共安全管理，负责发放剧毒化学品购买凭证和准购证，负责审查核发剧毒化学品公路运输通行证，对危险化学品道路运输安全实施监督，并负责前述事项的监督检查。  ,正确
金属锂、钠、钾及金属氢化物要注意使用和保存，尤其不能与水直接接触。,正确
下列哪一项不属于《高等学校消防安全管理规定》要求（）,D
危险化学品包括哪些物质？,D
引起电器线路火灾的原因是：,D
师生进入实验室工作，一定要搞清楚   等位置，有异常情况，要关闭相应的总开关。,B
进行较剧烈的体育锻炼如球类比赛、快速跑、健美操等，运动后应多补充一些碱性食物，如：,A
往玻璃管上套橡皮管（塞）时，不正确的做法是：,D
箱式电阻炉使用过程中，当温度升至多少度以上后，不得打开炉门进行激烈冷却，以免烧坏炉衬和电热元件?,A
试剂或异物溅入眼内，处理措施正确的是：,D
钠，钾等碱金属须贮存于：,C
实验中，进行高温操作时，必须佩戴防高温手套。,正确
一氧化碳泄漏，应先施行通风，以驱散一氧化碳气体，并切断一氧化碳泄漏源。,正确
计算机使用完毕后，应将显示器的电源关闭，以避免电源接通，产生瞬间的冲击电流。,正确
创造安全、卫生的实验室工作环境，仅仅是实验工作人员的责任。,错误
冷却灭火法是将可燃物冷却到其燃点以下，停止燃烧反应。,正确
需要加热的实验装置要选用安全的加热恒温设施，禁止使用电热毯、加热带等不安全的设备。,正确
在易燃易爆场所作业的人员不能穿戴( ),A
以下液体中，投入金属钠最可能发火燃烧的是：,C
用于饲养实验动物或进行动物实验的设施或部门，必须具备什么证明？,B
"以下止血方法中,哪种不作为首选应用?",D
在实验内容设计过程中，要尽量选择什么物品做实验？,A
易燃化学试剂存放和使用的注意事项正确是：,D
下列哪种物质与乙醇混溶时易发生爆炸？,C
电路或电器着火时，可用泡沫灭火器灭火。,错误
涉源单位产生放射性废源废物要及时送贮（一般3个月内），按规定处置，不得直接排入下水道或混装到普通垃圾中。 ,正确
利用江河水域进行游泳锻炼时，要事先了解水域的水温，漩涡，水流，深水区、浅水区，水底水中情况等。,正确
盛装废弃危险化学品的容器和受废弃危险化学品污染的包装物，必须按照危险废物进行管理。,正确
危险物质用惰性溶剂稀释后比较安全，该溶液若洒到布上，待溶剂蒸发变干后可以再使用。,错误
对于含氰废液可以进行处理：加入氢氧化钠使pH值10以上，加入过量的高锰酸钾（3%）溶液，使CN根氧化分解。CN根含量高时，可加入过量的次氯酸钙和氢氧化钠溶液。,正确
实验室内的浓酸、浓碱处理，一般要先中和后倾倒，并用大量的水冲洗管道。 ,正确
二氧化碳灭火器使用不当，可能会造成冻伤。,正确
高层建筑发生火灾时，通常不允许人员利用建筑物中的（）进行安全疏散,C
危险化学品的急性毒性表述中，半致死量LD50代表什么意义？,B
万一发生电气火灾，首先应该采取的第一条措施是：,B
一旦出现实验动物生物安全性的问题，首先必须向学校哪个机构报告？,D
实验动物的生物安全性，指的是涉及动物的哪种实验？,D
强氧化剂与有机物、镁粉、铝粉、锌粉可形成爆炸性混合物，以下哪种物质是安全的？,C
不准在车间打闹，不准随意攀登吊车、墙梯或者其它设备，不准在吊车吊运物体运行线上行走或停留。,正确
夏季天气热时可以在实验室内穿露有脚趾的鞋。,错误
强酸灼伤时，必须先用大量流水彻底冲洗，然后在皮肤上擦拭碱性药物，否则会加重皮肤损伤。,正确
对有异味或挥发性的废液或废物要丢弃在远离人群的地方。,错误
疏散指示灯，一般设在距离地面不超过（）的墙面上,C
全国消防宣传月是每年的哪一月（）,C
实验室生物安全防护的内容包括：,D
领取及存放化学药品时，以下说法错误的是：,D
塑料制品在烘干过程中温度不能超过100℃，植物样品在烘干过程中不超过70℃。,错误
除非特殊需要并采取一定的安全保护措施，否则空调、计算机、饮水机等不得无人开机过夜。,正确
发生剧毒化学品被盗、丢失、误售、误用后必须立即向当地公安部门报告而触犯刑律的，否则对负有责任的主管人员和其他直接责任人员依照刑法追究刑事责任。,正确
实验产生的废液（废酸、废碱等）和废弃固体物质可直接倒入下水道或普通垃圾桶。,错误
消防工作要贯彻( ),B
"为防止肌肉痉挛，夏季进行长时间的运动时，要注意补充      ；冬季锻练时,要注意保暖。",A
以下物质中，哪些应该在通风橱内操作?,D
"皮肤被黄磷灼时,应及时脱去污染的衣物,并立即用清水(由五氧化二磷、五硫化磷、五氯化磷引起的灼伤禁用水洗)或5%硫酸铜溶液或3%过氧化氢溶液冲洗，再用5%碳酸氢钠溶液冲洗，中和所形成的磷酸，然后用1：5000高锰酸钾溶液湿敷，或用2%硫酸铜溶液湿敷，以使皮肤上残存的黄磷颗粒形成磷化铜。",正确
"进行电气维修必须先关掉电源,在设置告知牌后，方可进行。",正确
箱式电阻炉的使用必须经过实验室管理员的同意，确保安全用电。,正确
窒息灭火法是将氧气浓度降低至最低限度，以防止火势继续扩大。其主要工具是：,C
许多易燃固体严禁与酸、氧化剂接触。是因为它具有（）的危险特性,B
下面所列试剂不用分开保存的是：,D
走廊比较通风时，可存放危险化学品。,错误
一定强度的电场，磁场，电磁场都可能对人有损害。,正确
国家秘密载体是指以文字、数据、符号、图形、图像、声音等方式记载国家秘密信息的纸介质、磁介质、光盘等各类物品。磁介质载体包括计算机硬盘、软盘和录音带、录像带等。,正确
教师应学习研究有关实验室安全的知识，同时在理论教学和实验中对学生进行安全知识教育、教会学生如何正确使用实验设备和实验操作，教会学生在突发事故发生时如何自我保护、相互救援、安全撤离。  ,正确
抗菌剂不能够杀死微生物，只能抑制它们生长和繁殖。 ,正确
自然地形跑步时要注意做好缓冲动作，用全脚掌先着地，后蹬程度和前摆高度要小一些。,错误
酒精灯内的酒精量最多可加九分满。,错误
《高等学校消防安全管理规定》是由国家哪个部门签署的（）,D
一般无特殊情况，每个人的晨脉是相对稳定的。如果运动锻炼后，第二天晨脉不变，说明身体状况良好或运动量合适；如果体育锻炼后，第二天的晨脉较以前增加多少次/分以上，说明前一天的活动量偏大，应适当调整运动量？,B
离心操作时，为防液体溢出，离心管中样品装量不能超过离心管体积的多少？,A
一般无机酸、碱液和稀硫酸不慎滴在皮肤上时，正确的处理方法是：,C
加热、回流易燃液体，为防止暴沸、喷溅，蒸馏中途不能添加沸石。,正确
各院系要加强对剧毒、有害、特殊化学药品的管理，建立严格的领取、发放、登记和主管领导审批制度。,正确
因为乙醚长时间与空气接触可以形成羟乙基过氧化氢，成为一种具有猛烈爆炸性的物质，因此，在蒸馏乙醚时不能将液体蒸干。,正确
酒精灯不再使用时，应立刻用嘴吹气灭火。,错误
火灾发生后，千万不要盲目跳楼，可利用疏散楼梯、阳台、窗口等逃生自救。也可用绳子或把床单、被套等撕成条状连成绳索，紧拴在窗框、铁栏杆等可靠的固定物上，用毛巾、布条等保护手心，顺绳滑下，或下到未着火的楼层进行逃生。,正确
混和或相互接触时，不会产生大量热量而着火、爆炸的是：,D
闪点越低，越容易燃烧。闪点在－4℃以上的溶剂是：,A
负载处于工作状态时，可以插、拔、接电气线路。,错误
使用手提灭火器时，拨掉保险销，对准着火点根部用力压下压把，灭火剂喷出，就可灭火。,正确
处理有毒的气体、能产生蒸气的药品及有毒的有机溶剂，必须在通风厨内进行。,正确
电气设备着火时，可以用水扑灭。,错误
根据农业部规定，动物病原微生物按危害程度可分为四类，其中哪类危害程度最高？,A
对于实验室的微波炉，下列哪种说法是错误的？,C
金属Hg具有高毒性，常温下挥发情况如何？,B
以下哪种酸具有强腐蚀性，使用时须做必要防护：,A
比较常见的引起呼吸道中毒的物质，一般是易挥发的有毒有机溶剂（如乙醚、三氯甲烷、苯等）或化学反应所产生的有毒气体（如氰化氢、氯气、一氧化碳等）。,正确
不得带着实验防护手套开门、翻阅书籍、使用电脑。,正确
加强对实验动物管理工作，防止人畜共患病和动物传染病的发生，是搞好生物安全管理工作的根本目标。,正确
发现有人触电，应立即切断电源，不能直接拉触电者，应用木棒或其它绝缘物将人与带电体分离。,正确
苯乙烯、乙酸乙烯酯应如何存放？,A
某人因机械操作不慎，致使左手食指从指根完全离断，急救处理首先是找器皿保存断指，然后包扎残端伤口止血。,错误
如遇呼吸道吸进有毒气体、蒸气、烟雾而引起呼吸系统中毒时，应立即将病人移至室外空气新鲜的地方，解开衣领，使之温暖和安静，切勿随便进行人工呼吸。,正确
遇火、遇潮容易燃烧、爆炸或产生有毒气体的化学危险品，不得在露天、潮湿、漏雨或低洼容易积水的地点存放。,正确
"冷凝冷却系统上连接用的橡胶管必须用铁丝等固定住,以防止因水压过高而造成管子脱落。",正确
当有人呼吸系统中毒时，应迅速使中毒者离开现场，移到通风良好的环境，令中毒者呼吸新鲜空气，情况严重者应及时送医院治疗。,正确
干燥箱和恒温箱的使用温度不能超过最高允许温度。,正确
在遇到高压电线断落地面时，导线断落点多少米内，禁止人员进入。,B
在使用微波炉时，可以使用金属容器以及空载。,错误
燃烧必须具备可燃物、助燃物和点火源三大条件，缺一不可。因此，可以采取尽量隔离的方式来防止实验室火灾的发生。,正确
任何单位和（ ）都有参加有组织的灭火工作的义务,B
被电击的人能否获救，关键在于：,B
溶剂溅出并燃烧应如何处理？,C
一些低毒、无毒的实验废液可以不经处理，直接由下水道排放。,错误
肥胖产生的原因是由于进食过多，消耗过少，使摄入的热量超过了机体所消耗的热量，过多的热量在体内转变成脂肪并大量蓄积，造成脂肪组织异常增加所致。,正确
电气线路着火，要先切断电源，再用干粉灭火器或二氧化碳灭火器灭火，不可直接泼水灭火，以防触电或电气爆炸伤人。,正确
"当被烧伤时,正确的急救方法应该是以最快的速度用冷水冲洗烧伤部位。",正确
实验室中使用臭氧发生设备时，应保证管路气密性，并将尾气用硫代硫酸钠溶液吸收，以免室内臭氧浓度过高。,正确
为避免误食有毒的化学药品，以下说法正确的是：,C
天气较热时，打开腐蚀性液体，应该：,B
对于重金属盐中毒者，可先喝一杯含有几克MgSO4的水溶液，然后立即就医。,正确
乙醇的爆炸极限是：4.3％～19％。,正确
H2O2、AgNO3、AgCl、KMnO4、草酸见光易分解，应置于棕色瓶内，放在阴凉避光处。,正确
在触电现场，若触电者已经没有呼吸或脉搏，此时可以判定触电者已经死亡，可以放弃抢救。,错误
对于无机酸类废液，实验室可以收集后进行如下处理：将废酸慢慢倒入过量的含碳酸钠或氢氧化钙的水溶液中（或用废碱）互相中和，再用大量水冲洗。  ,正确
每次进行体育锻炼的时间一般以30分钟至多少小时为宜？,A
剧毒物品使用完或残存物处理完的空瓶，应：,B
可以在敞口容器中存放易爆物质。,错误
如酚灼伤皮肤，先用浸了甘油或聚乙二醇和酒精混合液（7：3）的棉花除去污物，再用清水冲洗干净，然后用饱和硫酸钠溶液湿敷。但不可用水直接冲洗污物，否则有可能使创伤加重。 ,正确
电气设备和大型仪器须接地良好，对电线老化等隐患要定期检查并及时排除。,正确
铸造实习期间不准穿凉鞋、拖鞋，不准穿短裤，女生不准穿裙子。,正确
建筑物发生火灾时，乘坐电梯疏散即快速又安全省力。,错误
不能将乙醚等易挥发品放入普通冰箱，否则由于挥发气体不断溢出，而普通冰箱启动时有电火花出现，就有可能引起火灾。 ,正确
装有易燃液体的器皿可置于日光下。,错误
实验室内出现火情，若被困在室内时，应迅速打开水龙头，将所有可盛水的容器装满水，并把毛巾打湿。用湿毛巾捂嘴，可以遮住部分浓烟不被吸入。,正确
实验室的废液可以放入同一个废液桶中进行处理。,错误
溴（水）是腐蚀性极强的物质，必须在通风柜中操作，并注意安全。,正确
下列说法错误的是：,D
实验室内的汞蒸气会造成人员慢性重毒，为了减少汞液面的蒸发，可在汞液面上覆盖化学液体（甘油）。,正确
"创伤伤口内有玻璃碎片等大块异物时,应在去医院救治前尽快取出。",错误
实验室内的电线、开关、灯头、插头、插座等一切电器用具，要经常检查是否完好，有无漏电、潮湿、霉烂等情况。一旦有问题应立即报修。  ,正确
辐射工作场所的入口处可以不必放置辐射警示标志和工作信号。,错误
加热试管内物质时，管口应朝向自己，以便看清楚反应过程。,错误
扑灭电器火灾不宜使用下列何种灭火器材？,C
关于重铬酸钾洗液，下列说法错误的是：,A
强酸溅入眼内时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球。,正确
户外运动遇到危险时，要保持冷静，对自己的处境有清醒的判断，然后选择适宜的求救方法，如将“SOS”写在旗帜、风筝、沙滩、沙漠、雪地或其他醒目的地方，另外还可利用喊声、口哨声、挥动衣服、手帕、旗帜、晃动镜子的反射光、点营火、敲打一切可以发出响声的物品方法求救。,正确
涉辐人员必须持有辐射安全与防护培训合格证书，并佩带个人剂量计进行实验。,正确
因吸入少量氯气、溴蒸气而中毒，可用碳酸氢钠溶液漱口，不可进行人工呼吸。,正确
能相互反应产生有毒气体的废液，不得倒入同一收集桶中。若某种废液倒入收集桶会发生危险，则应单独暂存于一容器中，并贴上标签。,正确
实验过程中应尽量避免实验仪器在夜间无人看管的情况下连续运转，如果必须在夜间使用，应严格检查实验仪器的漏电保护装置及空气开关等工作正常。,正确
在实验室区域内，可以：,C
实验解剖用过的无污染动物尸体，应：,C
